族語,方言別,縣,鄉鎮市,村里
阿美語,北部阿美語,花蓮縣,新城鄉,"['嘉新村', '嘉里村', '佳林村', '北埔村', '大漢村', '康樂村', '新城村', '順安村']"
阿美語,北部阿美語,花蓮縣,花蓮市,"['國福里', '國慶里', '國興里', '國富里', '國裕里', '國強里', '國聯里', '國盛里', '民孝里', '民享里', '民樂里', '民運里', '主權里', '主農里']"
阿美語,北部阿美語,花蓮縣,吉安鄉,"['東昌村', '仁里村', '宜昌村', '太昌村', '南華村', '南昌村', '干城村', '永興村', '慶豐村', '仁和村', '仁安村', '永安村', '光華村', '福興村', '勝安村', '北昌村']"
阿美語,北部阿美語,花蓮縣,壽豐鄉,"['溪口村', '樹湖村', '豐山村', '豐裡村', '豐坪村', '壽豐村', '共和村', '光榮村', '池南村', '平和村', '志學村', '米棧村', '月眉村', '鹽寮村', '水璉村']"
阿美語,中部阿美語,花蓮縣,鳳林鎮,"['鳳信里', '山興里', '大榮里', '長橋里', '森榮里']"
阿美語,中部阿美語,花蓮縣,光復鄉,"['東富村', '北富村', '南富村', '西富村', '大興村', '大全村', '大平村', '大馬村', '大同村', '大華村', '大進村', '大安村']"
阿美語,中部阿美語,花蓮縣,瑞穗鄉,"['奇美村', '富興村', '富民村', '富源村', '瑞北村', '鶴岡村', '舞鶴村', '瑞穗村', '瑞良村', '瑞美村', '瑞祥村']"
阿美語,中部阿美語,花蓮縣,富里鄉,"['吳江村', '東里村', '萬寧村', '新興村', '豐南村', '學田村', '富南村']"
阿美語,中部阿美語,花蓮縣,玉里鎮,"['德武里', '春日里', '松浦里', '觀音里', '東豐里', '樂合里', '長良里', '源城里', '中城里', '國武里', '泰昌里', '啟模里', '永昌里', '大禹里', '三民里']"
阿美語,中部阿美語,臺東縣,東河鄉,"['北源村', '尚德村']"
阿美語,海岸阿美語,花蓮縣,豐濱鄉,"['磯崎村', '新社村', '豐濱村', '港口村', '靜浦村']"
阿美語,海岸阿美語,臺東縣,長濱鄉,"['樟原村', '三間村', '長濱村', '竹湖村', '寧埔村', '忠勇村']"
阿美語,海岸阿美語,臺東縣,成功鎮,"['信義里', '和平里', '忠仁里', '三民里', '三仙里', '忠孝里', '博愛里', '忠智里']"
阿美語,海岸阿美語,臺東縣,東河鄉,"['都蘭村', '興昌村', '隆昌村', '東河村', '北源村', '尚德村']"
阿美語,海岸阿美語,臺東縣,太麻里鄉,['美和村']
阿美語,馬蘭阿美語,花蓮縣,富里鄉,"['吳江村', '東里村', '萬寧村', '新興村', '豐南村', '學田村', '富南村']"
阿美語,馬蘭阿美語,臺東縣,關山鎮,"['新福里', '豐泉里', '里壠里', '德高里', '電光里']"
阿美語,馬蘭阿美語,臺東縣,鹿野鄉,"['瑞和村', '瑞源村', '瑞隆村', '永安村', '鹿野村']"
阿美語,馬蘭阿美語,臺東縣,卑南鄉,"['嘉豐村', '利吉村', '富山村', '太平村']"
阿美語,馬蘭阿美語,臺東縣,臺東市,"['新園里', '富岡里', '中心里', '自強里', '馬蘭里', '永樂里', '豐樂里', '四維里', '寶桑里', '豐谷里', '豐榮里', '豐年里', '豐里里', '南榮里', '富豐里', '建業里', '知本里', '新生里', '南王里', '卑南里']"
阿美語,馬蘭阿美語,臺東縣,東河鄉,"['都蘭村', '興昌村']"
阿美語,馬蘭阿美語,臺東縣,太麻里鄉,['香蘭村']
阿美語,恆春阿美語,臺東縣,池上鄉,"['大坡村', '大埔村', '振興村', '富興村', '福文村', '新興村', '慶豐村', '福原村']"
阿美語,恆春阿美語,臺東縣,關山鎮,"['新福里', '豐泉里', '里壠里', '德高里', '電光里']"
阿美語,恆春阿美語,臺東縣,鹿野鄉,"['瑞和村', '瑞源村', '瑞隆村', '永安村', '鹿野村']"
阿美語,恆春阿美語,臺東縣,太麻里鄉,['泰和村']
阿美語,恆春阿美語,花蓮縣,新城鄉,['順安村']
阿美語,恆春阿美語,屏東縣,滿州鄉,"['滿州村', '港口村', '里德村', '响林村', '長樂村', '永靖村', '港仔村']"
阿美語,恆春阿美語,屏東縣,牡丹鄉,"['石門村', '牡丹村', '東源村', '旭海村', '高士村', '四林村']"
泰雅語,賽考利克泰雅語,新北市,烏來區,"['忠治里', '烏來里', '信賢里', '福山里']"
泰雅語,賽考利克泰雅語,桃園市,復興區,"['長興村', '澤仁村', '三民村', '羅浮村', '霞雲村', '奎輝村', '義盛村', '高義村', '三光村', '華陵村']"
泰雅語,賽考利克泰雅語,新竹縣,五峰鄉,"['桃山村', '花園村', '大隘村', '竹林村']"
泰雅語,賽考利克泰雅語,新竹縣,尖石鄉,"['秀巒村', '錦屏村', '義興村', '玉峰村', '新樂村', '梅花村', '嘉樂村']"
泰雅語,賽考利克泰雅語,新竹縣,關西鎮,['錦山里']
泰雅語,賽考利克泰雅語,苗栗縣,泰安鄉,"['中興村', '八卦村']"
泰雅語,賽考利克泰雅語,苗栗縣,南庄鄉,"['南江村', '東河村']"
泰雅語,賽考利克泰雅語,臺中市,和平區,"['梨山里', '平等里', '博愛里', '自由里', '南勢里', '達觀里']"
泰雅語,賽考利克泰雅語,南投縣,仁愛鄉,"['翠華村', '力行村', '發祥村']"
泰雅語,澤敖利泰雅語,新竹縣,五峰鄉,"['桃山村', '花園村', '竹林村', '大隘村']"
泰雅語,澤敖利泰雅語,新竹縣,尖石鄉,"['梅花村', '錦屏村', '嘉樂村', '秀巒村', '義興村', '玉峰村', '新樂村']"
泰雅語,澤敖利泰雅語,苗栗縣,泰安鄉,"['梅園村', '象鼻村', '士林村', '大興村']"
泰雅語,澤敖利泰雅語,南投縣,仁愛鄉,['新生村']
泰雅語,澤敖利泰雅語,臺中市,和平區,"['達觀里', '自由里', '南勢里', '博愛里', '梨山里', '平等里']"
泰雅語,汶水泰雅語,苗栗縣,泰安鄉,"['錦水村', '清安村']"
泰雅語,萬大泰雅語,南投縣,仁愛鄉,['親愛村']
泰雅語,四季泰雅語,宜蘭縣,大同鄉,"['四季村', '茂安村', '寒溪村', '崙埤村', '松羅村', '復興村', '英士村', '樂水村', '南山村']"
泰雅語,宜蘭澤敖利泰雅語,宜蘭縣,南澳鄉,"['碧侯村', '武塔村', '金岳村', '東岳村', '澳花村', '南澳村', '金洋村']"
泰雅語,宜蘭澤敖利泰雅語,宜蘭縣,大同鄉,"['寒溪村', '四季村', '崙埤村', '松羅村', '復興村', '英士村', '樂水村', '茂安村', '南山村']"
泰雅語,宜蘭澤敖利泰雅語,宜蘭縣,冬山鄉,['大進村']
排灣語,東排灣語,臺東縣,達仁鄉,"['臺坂村', '土坂村', '新化村', '安朔村', '森永村', '南田村']"
