type,count,縣,鄉鎮市,村里,族語,方言別
dup_county_township,7,花蓮縣,新城鄉,,,
dup_county_township,2,花蓮縣,花蓮市,,,
dup_county_township,4,花蓮縣,吉安鄉,,,
dup_county_township,2,花蓮縣,壽豐鄉,,,
dup_county_township,2,花蓮縣,光復鄉,,,
dup_county_township,3,花蓮縣,瑞穗鄉,,,
dup_county_township,2,花蓮縣,富里鄉,,,
dup_county_township,3,臺東縣,東河鄉,,,
dup_county_township,3,花蓮縣,豐濱鄉,,,
dup_county_township,2,臺東縣,長濱鄉,,,
dup_county_township,4,臺東縣,太麻里鄉,,,
dup_county_township,2,臺東縣,關山鎮,,,
dup_county_township,2,臺東縣,鹿野鄉,,,
dup_county_township,4,臺東縣,卑南鄉,,,
dup_county_township,4,臺東縣,臺東市,,,
dup_county_township,2,屏東縣,滿州鄉,,,
dup_county_township,2,屏東縣,牡丹鄉,,,
dup_county_township,3,新竹縣,五峰鄉,,,
dup_county_township,2,新竹縣,尖石鄉,,,
dup_county_township,3,苗栗縣,泰安鄉,,,
dup_county_township,2,苗栗縣,南庄鄉,,,
dup_county_township,2,臺中市,和平區,,,
dup_county_township,8,南投縣,仁愛鄉,,,
dup_county_township,3,宜蘭縣,大同鄉,,,
dup_county_township,2,宜蘭縣,南澳鄉,,,
dup_county_township,2,臺東縣,金峰鄉,,,
dup_county_township,2,屏東縣,三地門鄉,,,
dup_county_township,2,屏東縣,瑪家鄉,,,
dup_county_township,2,屏東縣,春日鄉,,,
dup_county_township,6,南投縣,信義鄉,,,
dup_county_township,5,花蓮縣,萬榮鄉,,,
dup_county_township,5,花蓮縣,卓溪鄉,,,
dup_county_township,2,高雄市,桃源區,,,
dup_county_township,3,高雄市,那瑪夏區,,,
dup_county_township,4,高雄市,茂林區,,,
dup_county_township,2,屏東縣,霧臺鄉,,,
dup_county_township_village,2,花蓮縣,吉安鄉,東昌村、仁里村、宜昌村、太昌村、南華村、南昌村、干城村、永興村、慶豐村、仁和村、仁安村、永安村、光華村、福興村、勝安村、 北昌村,,
dup_county_township_village,2,花蓮縣,瑞穗鄉,奇美村、富興村、富民村、富源村、瑞北村、鶴岡村、舞鶴村、瑞穗村、瑞良村、瑞美村、 瑞祥村,,
dup_county_township_village,2,花蓮縣,富里鄉,吳江村、東里村、萬寧村、新興村、豐南村、 學田村、富南村,,
dup_county_township_village,2,臺東縣,關山鎮,新福里、豐泉里、里壠里、德高里、電光里,,
dup_county_township_village,2,臺東縣,鹿野鄉,瑞和村、瑞源村、瑞隆村、永安村、鹿野村,,
dup_county_township_village,2,南投縣,信義鄉,望美村(久美),,
dup_county_township_village,4,高雄市,茂林區,茂林里、萬山里、多納里,,
dup_county_township_village,2,屏東縣,霧臺鄉,霧臺村、好茶村、佳暮村、大武村、阿禮村、 吉露村,,
dup_county_township_village,2,花蓮縣,吉安鄉,慶豐村、南華村(初音)、福興村、干城村(博愛新村)、東昌村、仁里村、宜昌村、太昌村、南昌村、永興村、仁和村、仁安村、永安村、 光華村、勝安村,,
dup_county_township_village,2,花蓮縣,卓溪鄉,立山村、崙山村,,
